"USN","Name","Department","Course","Father Name","DOB","Mother Name","Phone"
"02JST22PMC001","Gauraw","Computer Application","MCA","Rangappa","2001/02/11","Vijaya","9987562347"
"02JST22PMC002","Raj","Computer Application","MCA","Rajanna","2001/02/12","Nalini","9987562349"
"02JST22PMC003","Rama","Computer Application","MCA","Lokesh","2001/02/13","Rekha","9987562351"
"02JST22PMC004","Sadhu","Computer Application","MCA","Sunder","2001/02/14","Roopa","9987562353"
"02JST22PMC005","Shankar","Computer Application","MCA","Suresh","2001/02/15","Pushpa","9987562355"
"02JST22PMC006","Bala","Computer Application","MCA","Basavaraj","2001/02/16","Vijaya","9987562357"
"02JST22PMC007","Krishna","Computer Application","MCA","Kalidas","2001/02/17","Nalini","9987562359"
"02JST22PMC008","Muruli","Computer Application","MCA","Karna","2001/02/18","Rekha","9987562361"
"02JST22PMC009","Raghav","Computer Application","MCA","Arjun","2001/02/19","Roopa","9987562363"
"02JST22PMC010","Puneet","Computer Application","MCA","Balram","2001/02/20","Pushpa","9987562365"
"02JST22PMC011","Preetham","Computer Application","MCA","Rangappa","2001/02/21","Vijaya","9987562367"
"02JST22PMC012","Vivek","Computer Application","MCA","Rajanna","2001/02/22","Nalini","9987562369"
"02JST22PMC013","Anjan","Computer Application","MCA","Lokesh","2001/02/23","Rekha","9987562371"
"02JST22PMC014","Madhu","Computer Application","MCA","Sunder","2001/02/24","Roopa","9987562373"
"02JST22PMC015","Prema","Computer Application","MCA","Suresh","2001/02/25","Pushpa","9987562375"
"02JST22PMC016","Priya","Computer Application","MCA","Basavaraj","2001/02/26","Vijaya","9987562377"
"02JST22PMC017","Soundarya","Computer Application","MCA","Kalidas","2001/02/27","Nalini","9987562379"
"02JST22PMC018","Ragini","Computer Application","MCA","Karna","2001/02/28","Rekha","9987562381"
"02JST22PMC019","Malashree","Computer Application","MCA","Arjun","2001/03/01","Roopa","9987562383"
"02JST22PMC020","Gauraw","Computer Application","MCA","Balram","2001/03/02","Pushpa","9987562385"
"02JST22PMC021","Raj","Computer Application","MCA","Rangappa","2001/03/03","Vijaya","9987562387"
"02JST22PMC022","Rama","Computer Application","MCA","Rajanna","2001/03/04","Nalini","9987562389"
"02JST22PMC023","Sadhu","Computer Application","MCA","Lokesh","2001/03/05","Rekha","9987562391"
"02JST22PMC024","Shankar","Computer Application","MCA","Sunder","2001/03/06","Roopa","9987562393"
"02JST22PMC025","Bala","Computer Application","MCA","Suresh","2001/03/07","Pushpa","9987562395"
"02JST22PMC026","Krishna","Computer Application","MCA","Basavaraj","2001/03/08","Vijaya","9987562397"
"02JST22PMC027","Muruli","Computer Application","MCA","Kalidas","2001/03/09","Nalini","9987562399"
"02JST22PMC028","Raghav","Computer Application","MCA","Karna","2001/03/10","Rekha","9987562401"
"02JST22PMC029","Puneet","Computer Application","MCA","Arjun","2001/03/11","Roopa","9987562403"
"02JST22PMC030","Preetham","Computer Application","MCA","Balram","2001/03/12","Pushpa","9987562405"
"02JST22PMC031","Vivek","Computer Application","MCA","Rangappa","2001/03/13","Vijaya","9987562407"
"02JST22PMC032","Anjan","Computer Application","MCA","Rajanna","2001/03/14","Nalini","9987562409"
"02JST22PMC033","Madhu","Computer Application","MCA","Lokesh","2001/03/15","Rekha","9987562411"
"02JST22PMC034","Prema","Computer Application","MCA","Sunder","2001/03/16","Roopa","9987562413"
"02JST22PMC035","Priya","Computer Application","MCA","Suresh","2001/03/17","Pushpa","9987562415"
"02JST22PMC036","Soundarya","Computer Application","MCA","Basavaraj","2001/03/18","Vijaya","9987562417"
"02JST22PMC037","Ragini","Computer Application","MCA","Kalidas","2001/03/19","Nalini","9987562419"
"02JST22PMC038","Malashree","Computer Application","MCA","Karna","2001/03/20","Rekha","9987562421"
"02JST22PMC039","Gauraw","Computer Application","MCA","Arjun","2001/03/21","Roopa","9987562423"
"02JST22PMC040","Raj","Computer Application","MCA","Balram","2001/03/22","Pushpa","9987562425"
"02JST22PMC041","Rama","Computer Application","MCA","Rangappa","2001/03/23","Vijaya","9987562427"
"02JST22PMC042","Sadhu","Computer Application","MCA","Rajanna","2001/03/24","Nalini","9987562429"
"02JST22PMC043","Shankar","Computer Application","MCA","Lokesh","2001/03/25","Rekha","9987562431"
"02JST22PMC044","Bala","Computer Application","MCA","Sunder","2001/03/26","Roopa","9987562433"
"02JST22PMC045","Krishna","Computer Application","MCA","Suresh","2001/03/27","Pushpa","9987562435"
"02JST22PMC046","Muruli","Computer Application","MCA","Basavaraj","2001/03/28","Vijaya","9987562437"
"02JST22PMC047","Raghav","Computer Application","MCA","Kalidas","2001/03/29","Nalini","9987562439"
"02JST22PMC048","Puneet","Computer Application","MCA","Karna","2001/03/30","Rekha","9987562441"
"02JST22PMC049","Preetham","Computer Application","MCA","Arjun","2001/03/31","Roopa","9987562443"
"02JST22PMC050","Vivek","Computer Application","MCA","Balram","2001/04/01","Pushpa","9987562445"
"02JST22PMC051","Anjan","Computer Application","MCA","Rangappa","2001/04/02","Vijaya","9987562447"
"02JST22PMC052","Madhu","Computer Application","MCA","Rajanna","2001/04/03","Nalini","9987562449"
"02JST22PMC053","Prema","Computer Application","MCA","Lokesh","2001/04/04","Rekha","9987562451"
"02JST22PMC054","Priya","Computer Application","MCA","Sunder","2001/04/05","Roopa","9987562453"
"02JST22PMC055","Soundarya","Computer Application","MCA","Suresh","2001/04/06","Pushpa","9987562455"
"02JST22PMC056","Ragini","Computer Application","MCA","Basavaraj","2001/04/07","Vijaya","9987562457"
"02JST22PMC057","Malashree","Computer Application","MCA","Kalidas","2001/04/08","Nalini","9987562459"
"02JST22PMC058","Gauraw","Computer Application","MCA","Karna","2001/04/09","Rekha","9987562461"
"02JST22PMC059","Raj","Computer Application","MCA","Arjun","2001/04/10","Roopa","9987562463"
"02JST22PMC060","Rama","Computer Application","MCA","Balram","2001/04/11","Pushpa","9987562465"
"02JST22PMC061","Sadhu","Computer Application","MCA","Rangappa","2001/04/12","Vijaya","9987562467"
"02JST22PMC062","Shankar","Computer Application","MCA","Rajanna","2001/04/13","Nalini","9987562469"
"02JST22PMC063","Bala","Computer Application","MCA","Lokesh","2001/04/14","Rekha","9987562471"
"02JST22PMC064","Krishna","Computer Application","MCA","Sunder","2001/04/15","Roopa","9987562473"
"02JST22PMC065","Muruli","Computer Application","MCA","Suresh","2001/04/16","Pushpa","9987562475"
"02JST22PMC066","Raghav","Computer Application","MCA","Basavaraj","2001/04/17","Vijaya","9987562477"
"02JST22PMC067","Puneet","Computer Application","MCA","Kalidas","2001/04/18","Nalini","9987562479"
"02JST22PMC068","Preetham","Computer Application","MCA","Karna","2001/04/19","Rekha","9987562481"
"02JST22PMC069","Vivek","Computer Application","MCA","Arjun","2001/04/20","Roopa","9987562483"
"02JST22PMC070","Anjan","Computer Application","MCA","Balram","2001/04/21","Pushpa","9987562485"
