USN,Name,Department,Course,Father Name,DOB,Mother Name,Phone
02JST22PMC001,Gauraw,Computer Application,MCA,Rangappa,2/11/2001,Vijaya,9987562347
02JST22PMC002,Raj,Computer Application,MCA,Rajanna,2/12/2001,Nalini,9987562349
02JST22PMC003,Rama,Computer Application,MCA,Lokesh,2/13/2001,Rekha,9987562351
02JST22PMC004,Sadhu,Computer Application,MCA,Sunder,2/14/2001,Roopa,9987562353
02JST22PMC005,Shankar,Computer Application,MCA,Suresh,2/15/2001,Pushpa,9987562355
02JST22PMC006,Bala,Computer Application,MCA,Basavaraj,2/16/2001,Vijaya,9987562357
02JST22PMC007,Krishna,Computer Application,MCA,Kalidas,2/17/2001,Nalini,9987562359
02JST22PMC008,Muruli,Computer Application,MCA,Karna,2/18/2001,Rekha,9987562361
02JST22PMC009,Raghav,Computer Application,MCA,Arjun,2/19/2001,Roopa,9987562363
02JST22PMC010,Puneet,Computer Application,MCA,Balram,2/20/2001,Pushpa,9987562365
02JST22PMC011,Preetham,Computer Application,MCA,Rangappa,2/21/2001,Vijaya,9987562367
02JST22PMC012,Vivek,Computer Application,MCA,Rajanna,2/22/2001,Nalini,9987562369
02JST22PMC013,Anjan,Computer Application,MCA,Lokesh,2/23/2001,Rekha,9987562371
02JST22PMC014,Madhu,Computer Application,MCA,Sunder,2/24/2001,Roopa,9987562373
02JST22PMC015,Prema,Computer Application,MCA,Suresh,2/25/2001,Pushpa,9987562375
02JST22PMC016,Priya,Computer Application,MCA,Basavaraj,2/26/2001,Vijaya,9987562377
02JST22PMC017,Soundarya,Computer Application,MCA,Kalidas,2/27/2001,Nalini,9987562379
02JST22PMC018,Ragini,Computer Application,MCA,Karna,2/28/2001,Rekha,9987562381
02JST22PMC019,Malashree,Computer Application,MCA,Arjun,3/1/2001,Roopa,9987562383
02JST22PMC020,Gauraw,Computer Application,MCA,Balram,3/2/2001,Pushpa,9987562385
02JST22PMC021,Raj,Computer Application,MCA,Rangappa,3/3/2001,Vijaya,9987562387
02JST22PMC022,Rama,Computer Application,MCA,Rajanna,3/4/2001,Nalini,9987562389
02JST22PMC023,Sadhu,Computer Application,MCA,Lokesh,3/5/2001,Rekha,9987562391
02JST22PMC024,Shankar,Computer Application,MCA,Sunder,3/6/2001,Roopa,9987562393
02JST22PMC025,Bala,Computer Application,MCA,Suresh,3/7/2001,Pushpa,9987562395
02JST22PMC026,Krishna,Computer Application,MCA,Basavaraj,3/8/2001,Vijaya,9987562397
02JST22PMC027,Muruli,Computer Application,MCA,Kalidas,3/9/2001,Nalini,9987562399
02JST22PMC028,Raghav,Computer Application,MCA,Karna,3/10/2001,Rekha,9987562401
02JST22PMC029,Puneet,Computer Application,MCA,Arjun,3/11/2001,Roopa,9987562403
02JST22PMC030,Preetham,Computer Application,MCA,Balram,3/12/2001,Pushpa,9987562405
02JST22PMC031,Vivek,Computer Application,MCA,Rangappa,3/13/2001,Vijaya,9987562407
02JST22PMC032,Anjan,Computer Application,MCA,Rajanna,3/14/2001,Nalini,9987562409
02JST22PMC033,Madhu,Computer Application,MCA,Lokesh,3/15/2001,Rekha,9987562411
02JST22PMC034,Prema,Computer Application,MCA,Sunder,3/16/2001,Roopa,9987562413
02JST22PMC035,Priya,Computer Application,MCA,Suresh,3/17/2001,Pushpa,9987562415
02JST22PMC036,Soundarya,Computer Application,MCA,Basavaraj,3/18/2001,Vijaya,9987562417
02JST22PMC037,Ragini,Computer Application,MCA,Kalidas,3/19/2001,Nalini,9987562419
02JST22PMC038,Malashree,Computer Application,MCA,Karna,3/20/2001,Rekha,9987562421
02JST22PMC039,Gauraw,Computer Application,MCA,Arjun,3/21/2001,Roopa,9987562423
02JST22PMC040,Raj,Computer Application,MCA,Balram,3/22/2001,Pushpa,9987562425
02JST22PMC041,Rama,Computer Application,MCA,Rangappa,3/23/2001,Vijaya,9987562427
02JST22PMC042,Sadhu,Computer Application,MCA,Rajanna,3/24/2001,Nalini,9987562429
02JST22PMC043,Shankar,Computer Application,MCA,Lokesh,3/25/2001,Rekha,9987562431
02JST22PMC044,Bala,Computer Application,MCA,Sunder,3/26/2001,Roopa,9987562433
02JST22PMC045,Krishna,Computer Application,MCA,Suresh,3/27/2001,Pushpa,9987562435
02JST22PMC046,Muruli,Computer Application,MCA,Basavaraj,3/28/2001,Vijaya,9987562437
02JST22PMC047,Raghav,Computer Application,MCA,Kalidas,3/29/2001,Nalini,9987562439
02JST22PMC048,Puneet,Computer Application,MCA,Karna,3/30/2001,Rekha,9987562441
02JST22PMC049,Preetham,Computer Application,MCA,Arjun,3/31/2001,Roopa,9987562443
02JST22PMC050,Vivek,Computer Application,MCA,Balram,4/1/2001,Pushpa,9987562445
02JST22PMC051,Anjan,Computer Application,MCA,Rangappa,4/2/2001,Vijaya,9987562447
02JST22PMC052,Madhu,Computer Application,MCA,Rajanna,4/3/2001,Nalini,9987562449
02JST22PMC053,Prema,Computer Application,MCA,Lokesh,4/4/2001,Rekha,9987562451
02JST22PMC054,Priya,Computer Application,MCA,Sunder,4/5/2001,Roopa,9987562453
02JST22PMC055,Soundarya,Computer Application,MCA,Suresh,4/6/2001,Pushpa,9987562455
02JST22PMC056,Ragini,Computer Application,MCA,Basavaraj,4/7/2001,Vijaya,9987562457
02JST22PMC057,Malashree,Computer Application,MCA,Kalidas,4/8/2001,Nalini,9987562459
02JST22PMC058,Gauraw,Computer Application,MCA,Karna,4/9/2001,Rekha,9987562461
02JST22PMC059,Raj,Computer Application,MCA,Arjun,4/10/2001,Roopa,9987562463
02JST22PMC060,Rama,Computer Application,MCA,Balram,4/11/2001,Pushpa,9987562465
02JST22PMC061,Sadhu,Computer Application,MCA,Rangappa,4/12/2001,Vijaya,9987562467
02JST22PMC062,Shankar,Computer Application,MCA,Rajanna,4/13/2001,Nalini,9987562469
02JST22PMC063,Bala,Computer Application,MCA,Lokesh,4/14/2001,Rekha,9987562471
02JST22PMC064,Krishna,Computer Application,MCA,Sunder,4/15/2001,Roopa,9987562473
02JST22PMC065,Muruli,Computer Application,MCA,Suresh,4/16/2001,Pushpa,9987562475
02JST22PMC066,Raghav,Computer Application,MCA,Basavaraj,4/17/2001,Vijaya,9987562477
02JST22PMC067,Puneet,Computer Application,MCA,Kalidas,4/18/2001,Nalini,9987562479
02JST22PMC068,Preetham,Computer Application,MCA,Karna,4/19/2001,Rekha,9987562481
02JST22PMC069,Vivek,Computer Application,MCA,Arjun,4/20/2001,Roopa,9987562483
02JST22PMC070,Anjan,Computer Application,MCA,Balram,4/21/2001,Pushpa,9987562485
02JST22PMC071,Madhu,Computer Application,MCA,Rangappa,4/22/2001,Vijaya,9987562487
02JST22PMC072,Prema,Computer Application,MCA,Rajanna,4/23/2001,Nalini,9987562489
02JST22PMC073,Priya,Computer Application,MCA,Lokesh,4/24/2001,Rekha,9987562491
02JST22PMC074,Soundarya,Computer Application,MCA,Sunder,4/25/2001,Roopa,9987562493
02JST22PMC075,Ragini,Computer Application,MCA,Suresh,4/26/2001,Pushpa,9987562495
02JST22PMC076,Malashree,Computer Application,MCA,Basavaraj,4/27/2001,Vijaya,9987562497
02JST22PMC077,Gauraw,Computer Application,MCA,Kalidas,4/28/2001,Nalini,9987562499
02JST22PMC078,Raj,Computer Application,MCA,Karna,4/29/2001,Rekha,9987562501
02JST22PMC079,Rama,Computer Application,MCA,Arjun,4/30/2001,Roopa,9987562503
02JST22PMC080,Sadhu,Computer Application,MCA,Balram,5/1/2001,Pushpa,9987562505
02JST22PMC081,Shankar,Computer Application,MCA,Rangappa,5/2/2001,Vijaya,9987562507
02JST22PMC082,Bala,Computer Application,MCA,Rajanna,5/3/2001,Nalini,9987562509
02JST22PMC083,Krishna,Computer Application,MCA,Lokesh,5/4/2001,Rekha,9987562511
02JST22PMC084,Muruli,Computer Application,MCA,Sunder,5/5/2001,Roopa,9987562513
02JST22PMC085,Gauraw,Computer Application,MCA,Suresh,5/6/2001,Pushpa,9987562515
02JST22PMC086,Raj,Computer Application,MCA,Basavaraj,5/7/2001,Vijaya,9987562517
02JST22PMC087,Rama,Computer Application,MCA,Kalidas,5/8/2001,Nalini,9987562519
02JST22PMC088,Sadhu,Computer Application,MCA,Karna,5/9/2001,Rekha,9987562521
02JST22PMC089,Shankar,Computer Application,MCA,Arjun,5/10/2001,Roopa,9987562523
02JST22PMC090,Bala,Computer Application,MCA,Balram,5/11/2001,Pushpa,9987562525
